batch_id,stage,temp_c,replicate_id,viscosity_pa_s,nco_wt_pct,measurement_date,spindle,speed_rpm,notes
B01,blend,110,1,,,,,,
B01,blend,110,2,,,,,,
B01,blend,110,3,,,,,,
B01,blend,120,1,,,,,,
B01,blend,120,2,,,,,,
B01,blend,120,3,,,,,,
B01,blend,130,1,,,,,,
B01,blend,130,2,,,,,,
B01,blend,130,3,,,,,,
B01,prepolymer,110,1,,,,,,
B01,prepolymer,110,2,,,,,,
B01,prepolymer,110,3,,,,,,
B01,prepolymer,120,1,,,,,,
B01,prepolymer,120,2,,,,,,
B01,prepolymer,120,3,,,,,,
B01,prepolymer,130,1,,,,,,
B01,prepolymer,130,2,,,,,,
B01,prepolymer,130,3,,,,,,
