source_candidate_id,rank_nom_within_robust,rank_robust_within_robust,highlight
WO_INV_0579,1,6,constrained_winner
WO_INV_0341,2,2,other
WO_INV_0660,3,5,other
WO_INV_0420,4,1,robust_winner
WO_INV_0437,5,3,other
WO_INV_0454,6,4,other
WO_INV_0580,7,14,other
WO_INV_0342,8,7,other
WO_INV_0470,9,9,other
WO_INV_0471,10,12,other
WO_INV_0661,11,15,other
WO_INV_0677,12,17,other
WO_INV_0421,13,8,other
WO_INV_0438,14,11,other
WO_INV_0678,15,21,other
WO_INV_0404,16,10,other
WO_INV_0455,17,13,other
WO_INV_0323,18,19,other
WO_INV_0487,19,20,other
WO_INV_0679,20,27,other
WO_INV_0488,21,23,other
WO_INV_0581,22,31,other
WO_INV_0343,23,18,other
WO_INV_0472,24,16,other
WO_INV_0387,25,25,other
WO_INV_0643,26,37,other
WO_INV_0662,27,32,other
WO_INV_0439,28,24,other
WO_INV_0008,29,30,other
WO_INV_0422,30,22,other
WO_INV_0489,31,35,other
WO_INV_0456,32,28,other
WO_INV_0009,33,39,other
WO_INV_0324,34,29,other
WO_INV_0405,35,26,other
WO_INV_0680,36,33,other
WO_INV_0599,37,45,other
WO_INV_0473,38,38,other
WO_INV_0598,39,49,other
WO_INV_0388,40,34,other
WO_INV_0344,41,36,other
WO_INV_0582,42,47,other
WO_INV_0490,43,50,other
WO_INV_0644,44,46,other
WO_INV_0371,45,52,other
WO_INV_0663,46,48,other
WO_INV_0695,47,54,other
WO_INV_0440,48,41,other
WO_INV_0681,49,53,other
WO_INV_0423,50,40,other
WO_INV_0457,51,51,other
WO_INV_0325,52,43,other
WO_INV_0406,53,42,other
WO_INV_0474,54,57,other
WO_INV_0389,55,44,other
WO_INV_0345,56,56,other
WO_INV_0583,57,63,other
WO_INV_0372,58,60,other
WO_INV_0645,59,59,other
WO_INV_0664,60,65,other
WO_INV_0441,61,64,other
WO_INV_0424,62,55,other
WO_INV_0458,63,67,other
WO_INV_0326,64,61,other
WO_INV_0355,65,70,other
WO_INV_0407,66,58,other
WO_INV_0475,67,75,other
WO_INV_0563,68,77,other
WO_INV_0390,69,62,other
WO_INV_0346,70,76,other
WO_INV_0584,71,72,other
WO_INV_0373,72,66,other
WO_INV_0646,73,68,other
WO_INV_0665,74,81,other
WO_INV_0356,75,80,other
WO_INV_0442,76,79,other
WO_INV_0459,77,83,other
WO_INV_0425,78,74,other
WO_INV_0327,79,71,other
WO_INV_0408,80,69,other
WO_INV_0564,81,84,other
WO_INV_0391,82,73,other
WO_INV_0347,83,91,other
WO_INV_0374,84,78,other
WO_INV_0585,85,90,other
WO_INV_0647,86,82,other
WO_INV_0357,87,87,other
WO_INV_0308,88,93,other
WO_INV_0666,89,96,other
WO_INV_0443,90,94,other
WO_INV_0460,91,100,other
WO_INV_0328,92,85,other
WO_INV_0426,93,92,other
WO_INV_0409,94,88,other
WO_INV_0565,95,95,other
WO_INV_0392,96,86,other
WO_INV_0052,97,99,other
WO_INV_0348,98,109,other
WO_INV_0375,99,89,other
WO_INV_0586,100,107,other
WO_INV_0648,101,98,other
WO_INV_0358,102,97,other
WO_INV_0309,103,102,other
WO_INV_0667,104,114,other
WO_INV_0444,105,113,other
WO_INV_0329,106,101,other
WO_INV_0427,107,110,other
WO_INV_0566,108,111,other
WO_INV_0410,109,105,other
WO_INV_0053,110,108,other
WO_INV_0393,111,104,other
WO_INV_0376,112,103,other
WO_INV_0649,113,115,other
WO_INV_0359,114,106,other
WO_INV_0310,115,112,other
WO_INV_0567,116,117,other
WO_INV_0054,117,116,other
