family,polyol,iso,n,pNCO_min,pNCO_max,slope_log10_eta80,slope_log10_eta120,multiplier_eta80,multiplier_eta120,slope_Ea_kJmol_per_pctNCO
C-44M,C,44M,3,6.0,10.0,-0.15412242846932162,-0.13119620157690107,0.7012575846598478,0.7392712184362668,-1.5234912321991183
C-MLQ,C,MLQ,4,4.0,10.0,-0.17262278578228346,-0.12521980087099915,0.6720122877705031,0.7495147762430296,-3.150018196683032
D-I,D,I,2,5.0,9.0,-0.09524172082641341,-0.05927222484600522,0.8030790178263396,0.8724243431747597,-2.3902411857788213
D-MLQ,D,MLQ,4,4.0,10.0,-0.1296388385047923,-0.1060217873334875,0.7419269750636749,0.783390341288847,-1.5693978149442451
D-W,D,W,2,5.0,9.0,-0.13203965450048735,-0.11075256826862116,0.7378368567476207,0.7749031596659187,-1.4145672284189408
P-44M,P,44M,4,4.0,10.0,-0.14619598657985283,-0.1340747573498911,0.7141739639332438,0.7343874433766878,-0.8054786573462529
P-I,P,I,2,5.0,9.0,-0.05161026562440732,-0.0523822160738988,0.8879525001238061,0.886375582781316,0.0512975705514553
P-MLQ,P,MLQ,4,4.0,10.0,-0.1368011334482238,-0.12504625867885996,0.7297916105573125,0.7498143389461815,-0.7811337090380551
P-TD80,P,TD80,3,4.0,10.0,-0.0765908710842784,-0.0705441450079768,0.8383186518126492,0.8500722809568203,-0.4018164089530507
P-TDS,P,TDS,3,4.0,10.0,-0.057830754390979344,-0.04929701905955369,0.8753248249685783,0.8926947505656154,-0.5670828879231209
P-W,P,W,2,5.0,9.0,-0.023515771158395267,-0.02691289164537245,0.9472927834781536,0.9399118139065712,0.2257450953843752
