oracle_rank,source_candidate_id,blend,nco_oh,mdi_parts,mdi_fraction_total,simulated_eta_80c_pa_s,simulated_eta_120c_pa_s,simulated_ratio_80c_120c,oracle_score,broad_margin,simulated_domain_ratio
1,WO_INV_0579,PPG2000:60+PPG400:40,1.7,55.30525,0.3561067639374715,3.4426950235,0.4097650681,8.4016313049,0.000416022035072,0.3366664207305441,0.7122477878
2,WO_INV_0341,PPG1000:90+PPG400:10,1.9,54.679625,0.3535024409323465,3.5061183527,0.4101864425,8.5476212509,0.0006441258000832,0.353893558742282,0.5429635
3,WO_INV_0660,PPG2000:20+PPG700:80,1.8,55.9845,0.3589106609951629,3.4006520275,0.4033158117,8.4317349549,0.0007906704211501,0.3402430888345068,0.6239216892
4,WO_INV_0420,PPG1000:50+PPG700:50,1.8,54.6975,0.3535771424877584,3.3375893216,0.403507719,8.2714385985,0.0008351860112308,0.3210489785487324,0.5375
5,WO_INV_0437,PPG1000:60+PPG700:40,1.9,55.6985,0.3577330545894789,3.4185155367,0.4024606876,8.4940359199,0.0008954815747787,0.3476047915097456,0.511396587
6,WO_INV_0454,PPG1000:70+PPG700:30,2.0,56.485,0.3609611144838163,3.5028896869,0.4017073002,8.7200050514,0.0014193061631902,0.3738603479816563,0.4859509604
7,WO_INV_0580,PPG2000:60+PPG400:40,1.8,58.5585,0.3693179488958334,3.3538695331,0.3936979499,8.5188900112,0.0016655583283342,0.3505265827503572,0.6684977878
8,WO_INV_0342,PPG1000:90+PPG400:10,2.0,57.5575,0.3653110769084302,3.4156564675,0.394102802,8.6669174891,0.0017882196957795,0.3677537207565331,0.4992135
9,WO_INV_0470,PPG1000:80+PPG700:20,2.0,54.34,0.352079823765712,3.685699703,0.417623839,8.8254054456,0.0018564413712887,0.3858750753801579,0.5049640638
10,WO_INV_0471,PPG1000:80+PPG700:20,2.1,57.057,0.3632884876191446,3.5906044124,0.4012485741,8.9485786232,0.0024040654790162,0.3734546508371798,0.4612140638
