source_candidate_id,blend,nco_oh,mdi_parts,PPG400,PPG700,PPG1000,PPG2000,mdi_fraction_total
WO_INV_0001,PPG1000:100,1.5,37.5375,0,0,100,0,0.2729255658
WO_INV_0002,PPG1000:100,1.6,40.04,0,0,100,0,0.2859183091
WO_INV_0003,PPG1000:100,1.7,42.5425,0,0,100,0,0.2984548468
WO_INV_0004,PPG1000:100,1.8,45.045,0,0,100,0,0.3105587921
WO_INV_0005,PPG1000:100,1.9,47.5475,0,0,100,0,0.3222521561
WO_INV_0006,PPG1000:100,2,50.05,0,0,100,0,0.3335554815
WO_INV_0007,PPG1000:100,2.1,52.5525,0,0,100,0,0.3444879632
WO_INV_0008,PPG1000:100,2.2,55.055,0,0,100,0,0.3550675567
WO_INV_0009,PPG1000:100,2.3,57.5575,0,0,100,0,0.3653110769
WO_INV_0010,PPG1000:100,2.4,60.06,0,0,100,0,0.3752342871
WO_INV_0011,PPG1000:100,2.5,62.5625,0,0,100,0,0.38485198
WO_INV_0012,PPG1000:100,2.6,65.065,0,0,100,0,0.3941780511
WO_INV_0013,PPG1000:100,2.7,67.5675,0,0,100,0,0.4032255658
WO_INV_0014,PPG1000:100,2.8,70.07,0,0,100,0,0.4120068207
WO_INV_0015,PPG1000:100,2.9,72.5725,0,0,100,0,0.420533399
WO_INV_0016,PPG1000:100,3,75.075,0,0,100,0,0.4288162216
WO_INV_0017,PPG2000:100,1.5,18.76875,0,0,0,100,0.1580276798
WO_INV_0018,PPG2000:100,1.6,20.02,0,0,0,100,0.1668055324
WO_INV_0019,PPG2000:100,1.7,21.27125,0,0,0,100,0.1754022491
WO_INV_0020,PPG2000:100,1.8,22.5225,0,0,0,100,0.1838233794
WO_INV_0021,PPG2000:100,1.9,23.77375,0,0,0,100,0.1920742484
WO_INV_0022,PPG2000:100,2,25.025,0,0,0,100,0.200159968
WO_INV_0023,PPG2000:100,2.1,26.27625,0,0,0,100,0.2080854476
WO_INV_0024,PPG2000:100,2.2,27.5275,0,0,0,100,0.2158554037
WO_INV_0025,PPG2000:100,2.3,28.77875,0,0,0,100,0.2234743698
WO_INV_0026,PPG2000:100,2.4,30.03,0,0,0,100,0.2309467046
WO_INV_0027,PPG2000:100,2.5,31.28125,0,0,0,100,0.2382766008
WO_INV_0028,PPG2000:100,2.6,32.5325,0,0,0,100,0.2454680927
WO_INV_0029,PPG2000:100,2.7,33.78375,0,0,0,100,0.2525250638
WO_INV_0030,PPG2000:100,2.8,35.035,0,0,0,100,0.2594512534
WO_INV_0031,PPG2000:100,2.9,36.28625,0,0,0,100,0.2662502637
WO_INV_0032,PPG2000:100,3,37.5375,0,0,0,100,0.2729255658
WO_INV_0033,PPG400:100,1.5,93.84375,100,0,0,0,0.4841205868
WO_INV_0034,PPG400:100,1.6,100.1,100,0,0,0,0.5002498751
WO_INV_0035,PPG400:100,1.7,106.35625,100,0,0,0,0.515401157
WO_INV_0036,PPG400:100,1.8,112.6125,100,0,0,0,0.5296607678
WO_INV_0037,PPG400:100,1.9,118.86875,100,0,0,0,0.5431051715
WO_INV_0038,PPG400:100,2,125.125,100,0,0,0,0.555802332
WO_INV_0039,PPG400:100,2.1,131.38125,100,0,0,0,0.567812863
WO_INV_0040,PPG400:100,2.2,137.6375,100,0,0,0,0.5791909947
WO_INV_0041,PPG400:100,2.3,143.89375,100,0,0,0,0.5899853932
WO_INV_0042,PPG400:100,2.4,150.15,100,0,0,0,0.6002398561
WO_INV_0043,PPG400:100,2.5,156.40625,100,0,0,0,0.6099939062
WO_INV_0044,PPG400:100,2.6,162.6625,100,0,0,0,0.6192833008
WO_INV_0045,PPG400:100,2.7,168.91875,100,0,0,0,0.6281404699
