cid,blend,nco_oh,mdi_fraction,eta80,eta120,ratio,unc_radius,domain_ratio,pareto5,property_score,robust_score
WO_INV_0424,PPG1000:50+PPG700:50,2.2,0.4006682548957911,3.0062379137,0.3438465965,8.742962542,0.0456,0.3625,True,0.0132610928825666,0.045357697144876
WO_INV_0408,PPG1000:40+PPG700:60,2.2,0.4090253646313501,2.860354897,0.3314407219,8.6300647682,0.0461451021,0.3795344417,True,0.0193240453935003,0.0543800107480414
WO_INV_0440,PPG1000:60+PPG700:40,2.2,0.3920713951353554,3.1606790359,0.3569506088,8.8546677274,0.0461646908,0.380146587,True,0.0086396832782762,0.0387997571388681
WO_INV_0423,PPG1000:50+PPG700:50,2.1,0.3895506329596874,3.0858565615,0.3578792423,8.6226195777,0.047,0.40625,True,0.0087539506859667,0.0383990596687099
WO_INV_0407,PPG1000:40+PPG700:60,2.1,0.3978297785217926,2.936109909,0.3449670744,8.5112757911,0.0475451021,0.4232844417,True,0.0138398882089112,0.0464826409137846
WO_INV_0425,PPG1000:50+PPG700:50,2.3,0.4113881674306357,2.9286735186,0.3303641786,8.8649850921,0.047,0.40625,False,0.0187020120683597,0.0560105557329925
WO_INV_0441,PPG1000:60+PPG700:40,2.3,0.4027158510253875,3.0791298823,0.3429543752,8.9782493087,0.0475646908,0.423896587,False,0.0130886378266082,0.0484406500233905
WO_INV_0406,PPG1000:40+PPG700:60,2.0,0.3862018168426221,3.013871253,0.3590454478,8.3941218912,0.0489451021,0.4670344417,True,0.0092895080204297,0.0393142955577234
WO_INV_0391,PPG1000:30+PPG700:70,2.1,0.4058873592138702,2.794117967,0.332700098,8.3983082165,0.0480719292,0.4397477878,True,0.0203643237240231,0.0559864915839535
WO_INV_0439,PPG1000:60+PPG700:40,2.1,0.381040656344488,3.2443879765,0.3715180395,8.7327871912,0.0475646908,0.423896587,True,0.005124505722782,0.0327210093809539
WO_INV_0422,PPG1000:50+PPG700:50,2.0,0.3780127507386098,3.1675838677,0.3724845713,8.5039330803,0.0484,0.45,True,0.0051805854683917,0.0321694466422315
WO_INV_0392,PPG1000:30+PPG700:70,2.2,0.417152615673349,2.7220265104,0.3196547406,8.5155205436,0.0466719292,0.3959977878,True,0.0268137328425626,0.0648114022786835
WO_INV_0390,PPG1000:30+PPG700:70,2.0,0.3941780510707903,2.8681187283,0.3462778466,8.2827092646,0.0494719292,0.4834977878,True,0.0148486915754338,0.047890605329336
WO_INV_0457,PPG1000:70+PPG700:30,2.3,0.3937841659455224,3.2386893901,0.3562824141,9.0902308441,0.0481504307,0.4422009604,False,0.0089388905256468,0.0422247751792864
WO_INV_0344,PPG1000:90+PPG400:10,2.2,0.38767981165031,3.2416745386,0.3638027387,8.910528134,0.047174832,0.4117135,True,0.0068777384423217,0.0366831092157506
