cid,blend,nco_oh,mdi_fraction,property_score,robust_score,state_score,state_robust_score,state_nominal_rank,state_robust_rank
WO_INV_0404,PPG1000:40+PPG700:60,1.8,0.3615445514212018,0.0029900786128438,0.0271646782520949,0.06294384328987566,2.8138813982699404,3.0,1.0
WO_INV_0420,PPG1000:50+PPG700:50,1.8,0.3535771424877584,0.0008351860112308,0.0218972940125763,0.0296052902362938,2.915694971522839,1.0,2.0
WO_INV_0389,PPG1000:30+PPG700:70,1.9,0.3819979080629188,0.0102668364234133,0.0405237435538211,0.22163595210102374,3.0424447476731444,23.0,3.0
WO_INV_0405,PPG1000:40+PPG700:60,1.9,0.3741159387635034,0.0056729048220774,0.0328749746700832,0.1438268424170716,3.1059817045756777,14.0,4.0
WO_INV_0324,PPG1000:80+PPG400:20,1.8,0.3693179488958334,0.005620335257959,0.0341371775927552,0.11455567384693621,3.131511075598551,11.0,5.0
WO_INV_0421,PPG1000:50+PPG700:50,1.9,0.3660303195999652,0.0025409972487003,0.0266688581002569,0.10146682643975036,3.1911930672170756,9.0,6.0
WO_INV_0388,PPG1000:30+PPG700:70,1.8,0.3693179488958334,0.006618758246461,0.0360926970922944,0.1325239361313677,3.2362250582269856,13.0,7.0
WO_INV_0325,PPG1000:80+PPG400:20,1.9,0.3819979080629188,0.0090766507197743,0.0397450200774446,0.20814373206213668,3.2407717210382456,20.0,8.0
WO_INV_0374,PPG1000:20+PPG700:80,2.0,0.4019496441600383,0.0218779412939417,0.0579236916315499,0.4755416734064994,3.349671324923384,48.0,9.0
WO_INV_0390,PPG1000:30+PPG700:70,2.0,0.3941780510707903,0.0148486915754338,0.047890605329336,0.35386886531158224,3.3777404331765704,37.0,10.0
WO_INV_0406,PPG1000:40+PPG700:60,2.0,0.3862018168426221,0.0092895080204297,0.0393142955577234,0.26783073926033185,3.425316390583361,27.0,11.0
WO_INV_0437,PPG1000:60+PPG700:40,1.9,0.3577330545894789,0.0008954815747787,0.0227505872618181,0.09444469324867481,3.4267075568058054,7.0,12.0
WO_INV_0323,PPG1000:80+PPG400:20,1.7,0.3561067639374715,0.0030977967844952,0.0310098207985412,0.06408851326052359,3.447780880403286,4.0,13.0
WO_INV_0373,PPG1000:20+PPG700:80,1.9,0.3896838257059069,0.01633739400225,0.0518067213115521,0.335924410489223,3.492792953891347,33.0,14.0
WO_INV_0422,PPG1000:50+PPG700:50,2.0,0.3780127507386098,0.0051805854683917,0.0321694466422315,0.21644926002146658,3.4939255417684993,21.0,15.0
WO_INV_0644,PPG2000:10+PPG700:90,1.8,0.3756526381017343,0.0079388263384553,0.0406931260113533,0.16211929928500424,3.503960188384009,15.0,16.0
WO_INV_0645,PPG2000:10+PPG700:90,1.9,0.3884161430616958,0.0119502168780373,0.0464826673372802,0.26761902784827923,3.5298802723369915,26.0,17.0
WO_INV_0387,PPG1000:30+PPG700:70,1.7,0.3561067639374715,0.0039044570747001,0.0328275677785155,0.0865328184738118,3.5565925769672253,6.0,18.0
WO_INV_0326,PPG1000:80+PPG400:20,2.0,0.3941780510707903,0.0134667431603512,0.0469732248449348,0.34485268761666127,3.579963985535565,34.0,19.0
WO_INV_0341,PPG1000:90+PPG400:10,1.9,0.3535024409323465,0.0006441258000832,0.0225382531791743,0.10443796015078996,3.6432120434769333,10.0,20.0
WO_INV_0660,PPG2000:20+PPG700:80,1.8,0.3589106609951629,0.0007906704211501,0.0248301635979896,0.06919958955384195,3.66370210016102,5.0,21.0
WO_INV_0438,PPG1000:60+PPG700:40,2.0,0.3696022190001891,0.0025431051573215,0.027371286094067,0.19961090272675172,3.71705974926323,18.0,22.0
WO_INV_0375,PPG1000:20+PPG700:80,2.1,0.4137321518081966,0.0283522655476795,0.0669409428347985,0.6582798329285504,3.727544885174124,68.0,23.0
WO_INV_0359,PPG1000:10+PPG700:90,2.1,0.4213724755566035,0.0379273046500952,0.0794810228032628,0.8250610440412031,3.730733984996293,84.0,24.0
WO_INV_0391,PPG1000:30+PPG700:70,2.1,0.4058873592138702,0.0203643237240231,0.0559864915839535,0.5292226765013495,3.7402704985828,53.0,25.0
