cid,strict_smax,strict_bottleneck,blend,nco_oh,mdi_fraction
WO_INV_0374,0.6559962045632565,ratio,PPG1000:20+PPG700:80,2.0,0.4019496441600383
WO_INV_0389,0.6444672038136624,ratio,PPG1000:30+PPG700:70,1.9,0.3819979080629188
WO_INV_0404,0.6356844905528145,ratio,PPG1000:40+PPG700:60,1.8,0.3615445514212018
WO_INV_0324,0.6058493394071879,ratio,PPG1000:80+PPG400:20,1.8,0.3693179488958334
WO_INV_0325,0.6047062376065823,ratio,PPG1000:80+PPG400:20,1.9,0.3819979080629188
WO_INV_0375,0.6043899841174115,eta120,PPG1000:20+PPG700:80,2.1,0.4137321518081966
WO_INV_0390,0.6018684636608221,ratio,PPG1000:30+PPG700:70,2.0,0.3941780510707903
WO_INV_0358,0.6008731373925378,ratio,PPG1000:10+PPG700:90,2.0,0.4095243718815505
WO_INV_0373,0.5938947610407856,ratio,PPG1000:20+PPG700:80,1.9,0.3896838257059069
WO_INV_0405,0.5935803420777044,ratio,PPG1000:40+PPG700:60,1.9,0.3741159387635034
WO_INV_0645,0.5899444509984871,ratio,PPG2000:10+PPG700:90,1.9,0.3884161430616958
WO_INV_0420,0.5873296396563878,ratio,PPG1000:50+PPG700:50,1.8,0.3535771424877584
WO_INV_0388,0.5838276336483839,ratio,PPG1000:30+PPG700:70,1.8,0.3693179488958334
WO_INV_0644,0.5739668128449913,ratio,PPG2000:10+PPG700:90,1.8,0.3756526381017343
WO_INV_0326,0.561609523776085,ratio,PPG1000:80+PPG400:20,2.0,0.3941780510707903
WO_INV_0565,0.5606080465673802,ratio,PPG2000:50+PPG400:50,1.9,0.4163012469264612
WO_INV_0391,0.5567885151565445,ratio,PPG1000:30+PPG700:70,2.1,0.4058873592138702
WO_INV_0564,0.5512415160043919,ratio,PPG2000:50+PPG400:50,1.8,0.4032255658167605
WO_INV_0406,0.5490675436689368,ratio,PPG1000:40+PPG700:60,2.0,0.3862018168426221
WO_INV_0646,0.5481879794976489,ratio,PPG2000:10+PPG700:90,2.0,0.4006682548957911
WO_INV_0421,0.5434052532088229,ratio,PPG1000:50+PPG700:50,1.9,0.3660303195999652
WO_INV_0323,0.534921812614782,ratio,PPG1000:80+PPG400:20,1.7,0.3561067639374715
WO_INV_0357,0.526639124173002,ratio,PPG1000:10+PPG700:90,1.9,0.3971809165562754
WO_INV_0372,0.5211204659896883,ratio,PPG1000:20+PPG700:80,1.8,0.3769043361227249
WO_INV_0327,0.5160396386667887,ratio,PPG1000:80+PPG400:20,2.1,0.4058873592138702
WO_INV_0309,0.5137478180295502,ratio,PPG1000:70+PPG400:30,1.9,0.4080874491602611
WO_INV_0387,0.5125230488326199,ratio,PPG1000:30+PPG700:70,1.7,0.3561067639374715
WO_INV_0392,0.5090040747213334,ratio,PPG1000:30+PPG700:70,2.2,0.417152615673349
WO_INV_0643,0.5064731039871173,ratio,PPG2000:10+PPG700:90,1.7,0.3623450398813324
WO_INV_0647,0.5041343948240801,ratio,PPG2000:10+PPG700:90,2.1,0.4124391048215981
WO_INV_0407,0.5019333220600279,ratio,PPG1000:40+PPG700:60,2.1,0.3978297785217926
WO_INV_0422,0.49693978655347065,ratio,PPG1000:50+PPG700:50,2.0,0.3780127507386098
WO_INV_0563,0.48719374263974397,ratio,PPG2000:50+PPG400:50,1.7,0.3895506329596874
WO_INV_0437,0.48257530521155545,ratio,PPG1000:60+PPG700:40,1.9,0.3577330545894789
WO_INV_0660,0.479998004119635,ratio,PPG2000:20+PPG700:80,1.8,0.3589106609951629
WO_INV_0579,0.46978494032044776,ratio,PPG2000:60+PPG400:40,1.7,0.3561067639374715
WO_INV_0328,0.46777740315465693,ratio,PPG1000:80+PPG400:20,2.2,0.417152615673349
WO_INV_0053,0.4568665680859238,ratio,PPG700:100,1.9,0.4044960547863629
WO_INV_0356,0.45630663547982125,ratio,PPG1000:10+PPG700:90,1.8,0.3843103814505031
WO_INV_0371,0.4521070007098564,ratio,PPG1000:20+PPG700:80,1.7,0.3635782178280834
WO_INV_0408,0.45193908242827413,ratio,PPG1000:40+PPG700:60,2.2,0.4090253646313501
WO_INV_0423,0.44770616437751914,ratio,PPG1000:50+PPG700:50,2.1,0.3895506329596874
WO_INV_0341,0.4465059385724769,ratio,PPG1000:90+PPG400:10,1.9,0.3535024409323465
WO_INV_0308,0.44558705245377095,ratio,PPG1000:70+PPG400:30,1.8,0.3950951288522989
WO_INV_0661,0.4355258884041174,ratio,PPG2000:20+PPG700:80,1.9,0.3714437465724041
WO_INV_0438,0.43490645490481167,ratio,PPG1000:60+PPG700:40,2.0,0.3696022190001891
WO_INV_0580,0.42732393455182655,ratio,PPG2000:60+PPG400:40,1.8,0.3693179488958334
WO_INV_0562,0.4261130653698572,ratio,PPG2000:50+PPG400:50,1.6,0.3752342871423216
WO_INV_0648,0.42072231023960094,eta120,PPG2000:10+PPG700:90,2.2,0.4237565025477165
WO_INV_0342,0.39879016783140353,ratio,PPG1000:90+PPG400:10,2.0,0.3653110769084302
WO_INV_0424,0.39544942511431747,ratio,PPG1000:50+PPG700:50,2.2,0.4006682548957911
WO_INV_0355,0.38957596784604365,ratio,PPG1000:10+PPG700:90,1.7,0.3708782696635928
WO_INV_0662,0.38862006370907515,ratio,PPG2000:20+PPG700:80,2.0,0.3834961930889923
