s_lo,s_hi,winner
0.0,0.3625,WO_INV_0579
0.365,1.36,WO_INV_0420
1.3625,1.4975,WO_INV_0437
1.5,1.6375,WO_INV_0454
1.6400000000000001,1.67,WO_INV_0470
1.6725,1.7375,WO_INV_0455
1.74,1.805,WO_INV_0440
1.8075,1.8075,
1.81,1.81,
1.8125,1.8125,
1.815,1.815,
1.8175000000000001,1.8175000000000001,
1.82,1.82,
1.8225,1.8225,
1.825,1.825,
1.8275000000000001,1.8275000000000001,
1.83,1.83,
1.8325,1.8325,
1.835,1.835,
1.8375000000000001,1.8375000000000001,
1.84,1.84,
1.8425,1.8425,
1.845,1.845,
1.8475000000000001,1.8475000000000001,
1.85,1.85,
1.8525,1.8525,
1.855,1.855,
1.8575,1.8575,
1.86,1.86,
1.8625,1.8625,
1.865,1.865,
1.8675,1.8675,
1.87,1.87,
1.8725,1.8725,
1.875,1.875,
1.8775,1.8775,
1.8800000000000001,1.8800000000000001,
1.8825,1.8825,
1.885,1.885,
1.8875,1.8875,
1.8900000000000001,1.8900000000000001,
1.8925,1.8925,
1.895,1.895,
1.8975,1.8975,
1.9000000000000001,1.9000000000000001,
1.9025,1.9025,
1.905,1.905,
1.9075,1.9075,
1.9100000000000001,1.9100000000000001,
1.9125,1.9125,
1.915,1.915,
1.9175,1.9175,
1.92,1.92,
1.9225,1.9225,
1.925,1.925,
1.9275,1.9275,
1.93,1.93,
1.9325,1.9325,
1.935,1.935,
1.9375,1.9375,
1.94,1.94,
1.9425000000000001,1.9425000000000001,
1.945,1.945,
1.9475,1.9475,
1.95,1.95,
1.9525000000000001,1.9525000000000001,
1.955,1.955,
1.9575,1.9575,
1.96,1.96,
1.9625000000000001,1.9625000000000001,
1.965,1.965,
1.9675,1.9675,
1.97,1.97,
1.9725000000000001,1.9725000000000001,
1.975,1.975,
1.9775,1.9775,
1.98,1.98,
1.9825000000000002,1.9825000000000002,
1.985,1.985,
1.9875,1.9875,
1.99,1.99,
1.9925,1.9925,
1.995,1.995,
1.9975,1.9975,
2.0,2.0,
2.0025,2.0025,
2.005,2.005,
2.0075,2.0075,
2.0100000000000002,2.0100000000000002,
2.0125,2.0125,
2.015,2.015,
2.0175,2.0175,
2.02,2.02,
2.0225,2.0225,
2.025,2.025,
2.0275,2.0275,
2.0300000000000002,2.0300000000000002,
2.0325,2.0325,
2.035,2.035,
2.0375,2.0375,
2.04,2.04,
2.0425,2.0425,
2.045,2.045,
2.0475,2.0475,
2.05,2.05,
2.0525,2.0525,
2.055,2.055,
2.0575,2.0575,
2.06,2.06,
2.0625,2.0625,
2.065,2.065,
2.0675,2.0675,
2.07,2.07,
2.0725000000000002,2.0725000000000002,
2.075,2.075,
2.0775,2.0775,
2.08,2.08,
2.0825,2.0825,
2.085,2.085,
2.0875,2.0875,
2.09,2.09,
2.0925000000000002,2.0925000000000002,
2.095,2.095,
2.0975,2.0975,
2.1,2.1,
2.1025,2.1025,
2.105,2.105,
2.1075,2.1075,
2.11,2.11,
2.1125,2.1125,
2.115,2.115,
2.1175,2.1175,
2.12,2.12,
2.1225,2.1225,
2.125,2.125,
2.1275,2.1275,
2.13,2.13,
2.1325,2.1325,
2.1350000000000002,2.1350000000000002,
2.1375,2.1375,
2.14,2.14,
2.1425,2.1425,
2.145,2.145,
2.1475,2.1475,
2.15,2.15,
2.1525,2.1525,
2.1550000000000002,2.1550000000000002,
2.1575,2.1575,
2.16,2.16,
2.1625,2.1625,
2.165,2.165,
2.1675,2.1675,
2.17,2.17,
2.1725,2.1725,
2.1750000000000003,2.1750000000000003,
2.1775,2.1775,
2.18,2.18,
2.1825,2.1825,
2.185,2.185,
2.1875,2.1875,
2.19,2.19,
2.1925,2.1925,
2.195,2.195,
2.1975000000000002,2.1975000000000002,
2.2,2.2,
