cid,blend,nco_oh,nominal_rank,robust_rank,property_score,robust_score
WO_INV_0579,PPG2000:60+PPG400:40,1.7,1.0,6.0,0.0004160220350720619,0.024936145769100942
WO_INV_0341,PPG1000:90+PPG400:10,1.9,2.0,2.0,0.0006441258000832023,0.022538253179174357
WO_INV_0660,PPG2000:20+PPG700:80,1.8,3.0,5.0,0.0007906704211501736,0.024830163597989632
WO_INV_0420,PPG1000:50+PPG700:50,1.8,4.0,1.0,0.0008351860112308893,0.021897294012576327
WO_INV_0437,PPG1000:60+PPG700:40,1.9,5.0,3.0,0.0008954815747787429,0.02275058726181814
WO_INV_0454,PPG1000:70+PPG700:30,2.0,6.0,4.0,0.0014193061631902343,0.024571588698084082
WO_INV_0580,PPG2000:60+PPG400:40,1.8,7.0,14.0,0.0016655583283342562,0.029631811658766483
WO_INV_0342,PPG1000:90+PPG400:10,2.0,8.0,7.0,0.0017882196957795583,0.026053739762955073
WO_INV_0470,PPG1000:80+PPG700:20,2.0,9.0,9.0,0.0018564413712887804,0.02704646373386354
WO_INV_0471,PPG1000:80+PPG700:20,2.1,10.0,12.0,0.0024040654790162116,0.028242418332368277
WO_INV_0661,PPG2000:20+PPG700:80,1.9,11.0,15.0,0.0024194398054454658,0.029679187467919983
WO_INV_0677,PPG2000:30+PPG700:70,1.9,12.0,17.0,0.0024868714413723274,0.030807026077419003
WO_INV_0421,PPG1000:50+PPG700:50,1.9,13.0,8.0,0.0025409972487003764,0.026668858100256994
WO_INV_0438,PPG1000:60+PPG700:40,2.0,14.0,11.0,0.002543105157321553,0.027371286094067034
WO_INV_0678,PPG2000:30+PPG700:70,2.0,15.0,21.0,0.0026489351496387986,0.031653466842210265
WO_INV_0404,PPG1000:40+PPG700:60,1.8,16.0,10.0,0.0029900786128438253,0.027164678252094978
WO_INV_0455,PPG1000:70+PPG700:30,2.1,17.0,13.0,0.0029920572923178065,0.028426927459665956
WO_INV_0323,PPG1000:80+PPG400:20,1.7,18.0,19.0,0.0030977967844952803,0.031009820798541244
WO_INV_0487,PPG1000:90+PPG700:10,2.1,19.0,20.0,0.0033851032549850934,0.031209299791883954
WO_INV_0679,PPG2000:30+PPG700:70,2.1,20.0,27.0,0.0037447758440579256,0.0333560788034201
WO_INV_0488,PPG1000:90+PPG700:10,2.2,21.0,23.0,0.003829793328641077,0.03219547551005151
