cid,blend,nco_oh,mdi_parts,eta80,eta120,ratio,domain_ratio,unc_radius,in_domain,mdi_fraction,PPG1000,PPG2000,PPG400,PPG700,property_score,broad_margin,ea_two_point_kj_mol,check_nco_oh,check_mdi_fraction,check_eta80_broad,check_eta120_broad,check_ratio_broad,check_eta80_preferred,check_eta120_preferred,check_ratio_preferred,check_chemistry_in_domain,feasible_nominal,property_rank,nominal_rank,robust_check_interval_inside_broad,robust_check_domain_ratio_max,feasible_robust,robust_score,robust_rank
WO_INV_0424,PPG1000:50+PPG700:50,2.2,66.8525,3.0062379137,0.3438465965,8.742962542,0.3625,0.0456,True,0.40066825489579116,50.0,0.0,0.0,50.0,0.01326109288256663,0.37648962661976215,62.57500000290107,True,True,True,True,True,True,True,True,True,True,136.0,66.0,True,True,True,0.04535769714487605,55.0
WO_INV_0408,PPG1000:40+PPG700:60,2.2,69.21200000000002,2.860354897,0.3314407219,8.6300647682,0.3795344417,0.0461451021,True,0.4090253646313501,40.0,0.0,0.0,60.0,0.01932404539350037,0.3634925408449129,62.19990811596431,True,True,True,True,True,True,True,True,True,True,178.0,87.0,True,True,True,0.05438001074804148,69.0
WO_INV_0440,PPG1000:60+PPG700:40,2.2,64.49300000000001,3.1606790359,0.3569506088,8.8546677274,0.380146587,0.0461646908,True,0.3920713951353554,60.0,0.0,0.0,40.0,0.008639683278276298,0.3840046106574805,62.94139256887167,True,True,True,True,True,True,True,True,True,True,98.0,49.0,True,True,True,0.03879975713886814,41.0
WO_INV_0423,PPG1000:50+PPG700:50,2.1,63.81375,3.0858565615,0.3578792423,8.6226195777,0.40625,0.047,True,0.38955063295968745,50.0,0.0,0.0,50.0,0.008753950685966719,0.3626294646055415,62.175000003760914,True,True,True,True,True,True,True,True,True,True,101.0,51.0,True,True,True,0.03839905966870999,40.0
WO_INV_0407,PPG1000:40+PPG700:60,2.1,66.066,2.936109909,0.3449670744,8.5112757911,0.4232844417,0.0475451021,True,0.3978297785217926,40.0,0.0,0.0,60.0,0.013839888208911202,0.34963237881884485,61.79990811324222,True,True,True,True,True,True,True,True,True,True,143.0,70.0,True,True,True,0.04648264091378465,58.0
WO_INV_0425,PPG1000:50+PPG700:50,2.3,69.89124999999999,2.9286735186,0.3303641786,8.8649850921,0.40625,0.047,True,0.4113881674306357,50.0,0.0,0.0,50.0,0.018702012068359725,0.382840099594986,62.975000003373246,True,True,True,True,True,True,True,True,True,True,172.0,84.0,True,True,True,0.05601055573299259,74.0
WO_INV_0441,PPG1000:60+PPG700:40,2.3,67.4245,3.0791298823,0.3429543752,8.9782493087,0.423896587,0.0475646908,True,0.40271585102538754,60.0,0.0,0.0,40.0,0.013088637826608228,0.3701444486412755,63.3413925721562,True,True,True,True,True,True,True,True,True,True,133.0,65.0,True,True,True,0.04844065002339059,64.0
WO_INV_0406,PPG1000:40+PPG700:60,2.0,62.92,3.013871253,0.3590454478,8.3941218912,0.4670344417,0.0489451021,True,0.3862018168426221,40.0,0.0,0.0,60.0,0.00928950802042972,0.3357722168073616,61.39990811111737,True,True,True,True,True,True,True,True,True,True,106.0,54.0,True,True,True,0.03931429555772345,42.0
WO_INV_0391,PPG1000:30+PPG700:70,2.1,68.31825,2.794117967,0.332700098,8.3983082165,0.4397477878,0.0480719292,True,0.4058873592138702,30.0,0.0,0.0,70.0,0.020364323724023154,0.3362708135393269,61.41429746546122,True,True,True,True,True,True,True,True,True,True,185.0,89.0,True,True,True,0.05598649158395352,73.0
WO_INV_0439,PPG1000:60+PPG700:40,2.1,61.5615,3.2443879765,0.3715180395,8.7327871912,0.423896587,0.0475646908,True,0.381040656344488,60.0,0.0,0.0,40.0,0.005124505722782066,0.37532511555669074,62.541392568639864,True,True,True,True,True,True,True,True,True,True,62.0,28.0,True,True,True,0.03272100938095399,24.0
